Year,Authors,Title,Journal,Issue,DOI,Cited
2020,"Okpara, U., Luuk Fleskens, L., Stringer, L., Hessel, R., Felicitas Bachmann, F., Daliakopoulos, I., Berglund, K., Blanco Velazquez. F.J.; Dal Ferro, N., Keizer, J., Kohnova, S., Lemann, T., Quinn, C., Schwilch, G., Siebielec, G., Skaalsveen, K., Tibbet, M., Zoumides, C.",Selecting and applying appraisal tools that help stakeholders to mitigate soil threats: Researchers’ experiences from across Europe,Journal of Environmental Management,"257, 110005",10.1016/j.jenvman.2019.110005,
2020,"Daliakopoulos, I.N., and Saskia Keestra",TERRAenVISION: Science for Society. Environmental Issues Today,Science of the Total Environment,"704, 135238",10.1016/j.scitotenv.2019.135238,
2019,"Rahmati, O., Golkarian, A., Keesstra, S., Trent Biggs, Daliakopoulos, I.N.",Land subsidence hazard modeling using GARP and MaxEnt: Machine learning to identify predictors and the role of human activities,Journal of Environmental Management,"236, 466-480",10.1016/j.jenvman.2019.02.020,12
2019,"Daliakopoulos, I.N., Apostolakis, A., Wagner, K., Deligianni, A., Koutskoudis, D., Stamatakis, A., Tsanis, I.K.",Effectiveness of Trichoderma harzianum in soil and yield conservation of tomato crops under saline irrigation,Catena,"175,144-153",10.1016/j.catena.2018.12.009,3
2019,"Daliakopoulos, I.N., Tsanis, I.K.",A SIFT-based DEM extraction approach using GEOEYE-1 satellite stereo-pairs,Sensors,"19, 1123",10.3390/s19051123,2
2019,"Moustakas, A., Daliakopoulos, I.N., Benton, T.G.",Data-driven competitive facilitative tree interactions and their implications on nature-based solutions,Science of the Total Environment,651 (2) 2269-2280,10.1016/j.scitotenv.2018.09.349,1
2019,"Cuevas, J., Daliakopoulos, I.N., del Morala, F., Huesoc, J.J., Tsanis, I.K",A Review of Soil-Improving Cropping Systems for Soil Salinization,Argonomy,"9(6), 295",10.3390/agronomy9060295,4
2018,"Moustakas, A., Evans, M.R., Daliakopoulos, I.N., Markonis, Y.",Abrupt events and population synchrony in the dynamics of Bovine Tuberculosis,Nature Communications,9:2821,10.1038/s41467-018-04915-0,
2018,"Riva, M.J., Baeza, J., Bautista, S., Christoforou, M., Daliakopoulos, I.N., Hadjimitsis, D., Keizer, J.J., Liniger, H., Quaranta, G., Ribeiro, C., Salvia, R., Tsanis, I.K., Urgeghe, A., Valdecantos, A., Schwilch, G.",How does land management contribute to the resilience of Mediterranean forests and rangelands? A participatory assessment,Land Degradation & Development,29:3721–3735,10.1002/ldr.3104,
2018,"Schwilch, G., Lemann, T., Berglund, Ö., Camarotto, C., Cerdà, A., Daliakopoulos I.N., Kohnová, S., Krzeminska, D., Marañón, T., Rietra, R., Sibielec, G., Thorsson, J., Tibbett, M., Valente, S., van Delden, H., van den Akker, J., Verzandvoort, Vrînceanu, N.O., Zoumides C. and Hessel, R.",Assessing impacts of soil management measures on Ecosystem Services,Sustainability,"10(12), 4416",10.3390/su10124416,8
2018,"Alexakis, D.D., Daliakopoulos, I.N., Panagea, I., Tsanis, I.K.","Assessing Soil Salinity with the use of WorldView-2 Multispectral Images in Timpaki, Crete",Geocarto International,61 (15) 2763-2774,10.1080/10106049.2016.1250826,10
2017,"Daliakopoulos, I.N., Panagea, S.I., Tsanis, I.K., Grillakis, M.G., Koutroulis, A.G., Hessel, R., Mayor, A.G., and Ritsema, C.J., 2017",Yield Response of Mediterranean Rangelands under a Changing Climate,,28 (7) 1962-1972,10.1002/ldr.2717,14
2017,"Grillakis, M.G., Koutroulis, A.G., Daliakopoulos, I.N., Tsanis, I.K.",A method to preserve trends in quantile mapping bias correction of climate modeled temperature,Earth System Dynamics,8(3) 889-900,10.5194/esd-8-889-2017,13
2017,"Riva, M.J., Daliakopoulos, I.N., Eckert, S., Hodel, E., Liniger, H.",Assessment of Land Degradation in Mediterranean Forests and Grazing Lands using a Landscape Unit Approach and the Normalized Difference Vegetation Index,Applied Geography,86:8-21,10.1016/j.apgeog.2017.06.017,17
2017,"Daliakopoulos, I.N., Katsanevakis, S., Moustakas, A.",Spatial Downscaling of Alien Species Presences using Machine Learning,Frontiers in Earth Science,5:60,10.3389/feart.2017.00060,6
2017,"Alexakis, D.D., Mexis, P.D., Vozinaki, A.E.K., Daliakopoulos, I.N., Tsanis, I.K.",Soil moisture content estimation based on Sentinel-1 and auxiliary earth observation products. A hydrological approach,Sensors ,17 (7),10.3390/s17061455,28
2016,"Daliakopoulos, I.N., Tsanis I.K., Koutroulis, A., Kourgialas N., Varouchakis, E., Karatzas P., Ritsema C.",The Threat of Soil Salinity: a European scale review,Science of the Total Environment,"574, 727-739",10.1016/j.scitotenv.2016.08.177,89
2016,"Daliakopoulos, I.N., Tsanis I.K.",Comparison of an Artificial Neural Network and a Conceptual Rainfall-Runoff Model in the Simulation of Ephemeral Streams,Hydrological Sciences Journal,"61, 2763-2774",10.1080/02626667.2016.1154151,16
2016,"Daliakopoulos I.N., Pappa, P., Grillakis, M.G., Varouchakis, E.A., Tsanis, I.K.","Modelling soil salinity in greenhouse cultivations under a changing climate with SALTMED: Model modification and application in Timpaki, Crete",Soil Science,"181 (6), 241-251",10.1097/SS.0000000000000161,9
2016,"Grillakis, M.G., Koutroulis, A.G., Papadimitriou, L.V., Daliakopoulos, I.N. and Tsanis, I.K.",Climate induced shifts in global soil temperature regimes,Soil Science,"181 (6), 264-272",10.1097/SS.0000000000000156,14
2016,"Panagea I.S., Daliakopoulos I.N., Tsanis, I.K., Schwilch, G.",Evaluation of promising technologies for soil salinity amelioration in Timpaki (Crete): a Participatory Approach.,Solid Earth,"7, 177-190",10.5194/se-7-177-2016,16
2016,"Apostolakis, Α., Wagner, Κ., Daliakopoulos, Ι.Ν., Tsanis, Ι.Κ.",Greenhouse Soil Moisture Deficit under Saline Irrigation and Climate Change,Procedia Engineering,"166, 537–544",10.1016/j.proeng.2016.11.098,5
2015,"Koutroulis, A. G., Grillakis M.G., Daliakopoulos, I.N., Tsanis I.K., and Jacob D.",Cross sectoral impacts on water availability at +2 °C and +3 °C for east Mediterranean island states: the case of Crete,Journal of Hydrology,"532, 16-28",10.1016/j.jhydrol.2015.11.015,24
2014,"Daliakopoulos, I.N., Tsanis, I.K.",Climate Induced Catastrophic Shifts in Pastoralism Systems Managed Under the Maximum Sustainable Yield Model,International Journal of Operational Research,14 (2) 177-188,10.1007/s12351-014-0156-7,3
2013,"Tsanis, I.K., Seiradakis, K.D., Daliakopoulos I.N., Grillakis, M.G., Koutroulis, A.G.",Assessment of Geoeye-1 Stereo-Pair Generated DEM in Flood Mapping of an Ungauged Basin,Journal of Hydroinformatics,16 (1) 1–18,10.2166/hydro.2013.197,15
2012,"Koutroulis, A.G., Tsanis, I.K., Daliakopoulos, I.N., Jacob, D.","Impact of climate change on water resources status: a case study for Crete Island, Greece",Journal of Hydrology,479 (4) 146-158,10.1016/j.jhydrol.2012.11.055,60
2012,"Daliakopoulos, I.N., Tsanis, I.K.",A weather radar data processing module for storm analysis,ournal of Hydroinformatics,14 (2) 332-344,10.2166/hydro.2011.118,6
2011,"Tsanis, I.K., Koutroulis, A.G., Daliakopoulos, I.N., Jacob, D.",Severe climate-induced water shortage and extremes in Crete,Climatic Change,106 (4) 667-677,10.1007/s10584-011-0048-2,44
2010,"Koutroulis, A.G., Tsanis, I.K., Daliakopoulos, I.N., Jacob, D.",Seasonality of floods and their hydrometeorologic characteristics in the island of Crete,Journal of Hydrology,394 (1-2) 90-100,10.1016/j.jhydrol.2010.04.025,47
2009,"E. Gaume, V. Bain, P. Bernardara, O. Newinger, M. Barbuc, A. Bateman, L. Blaškovičová, G. Blöschl, M. Borga, A. Dumitrescu, I. Daliakopoulos, J. Garcia, A. Irimescu, S. Kohnova, A. Koutroulis, L. Marchi, S. Matreata, V. Medina, E. Preciso, D. Sempere-Torres, G. Stancalie, J. Szolgay, I. Tsanis, D. Velasco, A. Viglione",A compilation of data on European flash floods,Journal of Hydrology,367 (1-2) 70-78,10.1016/j.jhydrol.2008.12.028,375
2009,"Daliakopoulos, I.N., Grillakis, E.G., Koutroulis, A.G., Tsanis, I.K.",Tree crown detection on multispectral VHR satellite imagery,Photogrammetric Engineering and Remote Sensing,75 (10) 1201-1211,10.14358/PERS.75.10.1201,25
2008,"Tsanis I.K., Coulibaly, P., Daliakopoulos, I.N.",Improving groundwater level forecasting with a feedforward neural network and linearly regressed projected precipitation,Journal of Hydroinformatics,10 (4) 317–330,10.2166/hydro.2008.006,32
2005,"Daliakopoulos, I.N., Coulibaly, P., Tsanis, I.K.",Groundwater Level Forecasting Using Artificial Neural Networks,Journal of Hydrology,"309, 229-240",10.1016/j.jhydrol.2004.12.001,346
